Report generated on: 11-04-2020 09:50:59
"API","","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"INTL.57-1-ALB-TBPD.A","                Crude oil including lease condensate (Mb/d)","","","","","","","","44","44","64","75","55","55","55","54","44","47","30","19","11","11.26","11","10","9.5","9.165753424657535","6.3","5.575342465753424","5.6560000000000015","5.952","6.361","6.717","6.693","7","7.742465753424658","6.419178082191781","6","5.328767123287672","10.843835616438357","15.515068493150684","16.83606557377049","17.008219178082193","20.506849315068493","20.161643835616438","22.74863387978142","16","15.586301369863014","14.495890410958904"
"INTL.58-1-ALB-TBPD.A","                NGPL (Mb/d)","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.59-1-ALB-TBPD.A","                Other liquids (Mb/d)","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.56-1-ALB-TBPD.A","            Refinery processing gain (Mb/d)","","","","","","","","0","0","0","0","0","0","-0.4","-0.4","-0.4","-0.3","-0.3","-0.2","-0.2","-0.1","","-0.1","0.1","0.1","0.1","","0.00409930567759565","0.0420386902136986","-0.038660605939726","0.00513820361095892","0.00583756380874317","-0.015","0.072","0.082","0.036","0.062","0.027","0.058","0.011","0.008","0.08","0.069","0.069","0.069","0.069","0.069"
"","Algeria","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.53-1-DZA-TBPD.A","        Total petroleum and other liquids (Mb/d)","","","","","","","","1143","1052","1046","1018","1115","1142","1190","1200","1174","1234","1315","1309","1341","1311.7150684931507","1295.6","1306.7945205479452","1376.0448087431694","1417.2397260273972","1402.4109589041095","1388.6013698630136","1433.0252873095192","1513.8926453349754","1617.653051408422","1784.043024019222","1844.525034373716","1956.7780684931506","1967.493493150685","1967.5452602739726","1954.459","1909.8147123287672","1881.051","1862.69","1875.227169398907","1763.0818219178082","1722.342","1798.425","1698.785655737705","1641.7428082191782","1577.0825342465753","1570.3839041095891"
"INTL.55-1-DZA-TBPD.A","            Crude oil, NGPL, and other liquids (Mb/d)","","","","","","","","1142","1051","1045","1017","1114","1141","1192","1201","1175","1236","1315","1310","1342","1312.3150684931506","1295","1306.7945205479452","1377.1448087431695","1418.7397260273972","1401.4109589041095","1387.3013698630136","1433.9071038251366","1515.0000000000002","1619.0000000000002","1786.041095890411","1846.775956284153","1957.3150684931506","1969.0684931506848","1968.3972602739725","1955","1909.876712328767","1880","1862","1874.2431693989072","1761.7808219178082","1720","1797","1697.360655737705","1640.317808219178","1575.6575342465753","1568.958904109589"
"INTL.57-1-DZA-TBPD.A","                Crude oil including lease condensate (Mb/d)","1097","1008.6","982.6","1075.1","1152.3","1231","1224","1105.9071038251366","1002.0328767123287","987","961.2602739726027","1014.440324955901","1036.0712328767124","1072","1071.3205479452056","1045","1105.5863013698631","1180.0684931506848","1170","1201.6120218579235","1167.3150684931506","1155","1161.7945205479452","1227.1448087431695","1258.7397260273972","1226.4109589041095","1177.3013698630136","1213.9071038251366","1265.0000000000002","1349.0000000000002","1516.041095890411","1581.775956284153","1692.3150684931506","1699.0684931506848","1708.3972602739725","1705","1584.876712328767","1540","1540","1532.2431693989072","1461.7808219178082","1420","1429","1348.360655737705","1305.6328767123289","1258.6575342465753","1258.958904109589"
"INTL.58-1-DZA-TBPD.A","                NGPL (Mb/d)","","","","","","","","36","49","58","56","100","105","120","130","130","130","135","140","140","145","140","145","150","160","175","210","220","250","270","270","265","265","270","260","250","325","340","322","342","300","300","368","349","334.6849315068493","317","310"
