__yearly__,ea_nf,at_nf_to_nw,at_nf,be_nf_to_nw,be_nf,cy_nf_to_nw,cy_nf,ee_nf_to_nw,ee_nf,fi_nf_to_nw,fi_nf,fr_nf_to_nw,fr_nf,de_nf_to_nw,de_nf,gr_nf_to_nw,gr_nf,ie_nf_to_nw,ie_nf,it_nf_to_nw,it_nf,lv_nf_to_nw,lv_nf,lt_nf_to_nw,lt_nf,lu_nf_to_nw,lu_nf,mt_nf_to_nw,mt_nf,nl_nf_to_nw,nl_nf,pt_nf_to_nw,pt_nf,sk_nf_to_nw,sk_nf,si_nf_to_nw,si_nf,es_nf_to_nw,es_nf,hr_nf_to_nw,hr_nf,ea_nf_to_nw,cn_nf_to_nw,cn_nf,us_nf_to_nw,us_nf,,__eof__
2011Y,160125.586118345,0.74857,4248.48133791,0.66727,4801.31659601,0.7224,594.2758584,0.74711,664.40641722,0.74806,2647.7882924,0.70265,28415.2770187,0.77217,41561.27808,0.66628,4822.66989484,0.71239,2165.289814275,0.62334,24436.6515351,0.73325,1019.589991,0.7139,1483.07477835,0.68493,243.972408465,0.62185,180.6548872,0.78566,8753.75851022,0.73673,5143.44439523,0.6885,2673.685098,0.7016,1004.5501784,0.73933,23393.5175883,0.64305,1871.903438325,0.714933639570471,0.76878,760017.0688578,0.71883,151136.42061231,,__eof__
2012Y,161020.50567297,0.75421,4296.355379475,0.66941,4831.957687235,0.72548,602.0522739,0.74769,658.1017842,0.75119,2647.79676557,0.70954,28628.7647113,0.77104,41608.62731816,0.66895,4797.149154375,0.7125,2157.33564375,0.6381,24966.326124,0.74916,1023.92117244,0.71906,1473.33272773,0.69877,255.896911085,0.64266,188.65509231,0.79521,8843.674740615,0.73457,5092.87077324,0.69623,2697.9399861,0.70306,1001.95787381,0.7428,23393.8642764,0.64047,1853.925277275,0.720107933352892,0.76555,759985.0853754,0.71841,151899.62761512,,__eof__
2013Y,161139.18168357,0.7581,4335.44388585,0.67546,4891.01227687,0.72823,608.49952101,0.75117,654.033578205,0.75025,2632.118205375,0.71651,28825.265726705,0.77427,41844.6556227,0.66943,4757.71063901,0.71965,2176.461603275,0.63699,24865.53272214,0.74576,1000.8080556,0.72583,1466.270594985,0.7061,264.9774409,0.66675,198.550149,0.79931,8888.154149385,0.73053,5018.7484053,0.7009,2706.14441085,0.70309,995.97127967,0.74294,23172.40149719,0.63909,1836.42191955,0.7226552487196,0.76275,759424.9149405,0.71571,152170.191746505,,__eof__
2014Y,161075.60993894,0.75689,4354.92253434,0.67705,4918.265540375,0.73723,619.67572758,0.75201,648.002880945,0.75263,2627.91828161,0.71666,28749.57699292,0.77565,41934.40108965,0.66828,4708.70656038,0.71967,2183.996582565,0.64316,25006.028642,0.74927,987.554718575,0.73938,1471.94217702,0.71461,274.815781175,0.68231,206.81839565,0.79473,8850.2007003,0.73251,4986.545343525,0.7081,2721.28459395,0.70852,996.69067144,0.74217,22937.840367585,0.66399,1890.422357355,0.724601177058883,0.7616,759634.3842752,0.71459,152895.61937021,,__eof__
2015Y,160996.085697625,0.75793,4405.00730356,0.67566,4925.24654244,0.72282,610.87072263,0.76548,655.0882155,0.7567,2630.2021795,0.72021,28818.361584615,0.77382,41818.00623309,0.67003,4680.79540847,0.72121,2204.8399394,0.64417,24931.901247635,0.76134,986.78609745,0.74376,1458.83280492,0.71596,282.35815692,0.69187,214.119581665,0.79963,8927.555095225,0.73412,4962.2951518,0.71195,2720.913067225,0.71486,1000.12952959,0.74341,22870.33512054,0.6721,1892.44171545,0.725972081075652,0.76067,759320.634935945,0.71366,153764.25013272,,__eof__
2016Y,161848.285217055,0.76561,4491.22367883,0.6758,4944.1311744,0.71214,604.96684677,0.77282,657.59987979,0.75788,2624.97649464,0.72206,28830.60447002,0.78506,42397.20219782,0.67116,4647.97159596,0.72735,2243.779103475,0.65303,25177.1210593,0.76734,978.12215928,0.75703,1462.424119245,0.70678,286.2388322,0.7096,224.8129884,0.80001,8958.09197475,0.73749,4952.29844928,0.72184,2739.28102056,0.71278,993.85125018,0.74246,22800.91504545,0.65857,1832.672876705,0.731131938000588,0.75932,757866.15885016,0.71721,155247.95364624,,__eof__
2017Y,162149.481168815,0.76709,4520.47210926,0.68613,5036.097798735,0.71918,614.02761343,0.78699,666.25629012,0.76625,2644.467058125,0.72193,28764.13204533,0.78869,42551.41628773,0.67078,4605.18039058,0.72695,2267.031012925,0.65764,25272.79808212,0.77405,970.100996975,0.76169,1448.922136585,0.70947,294.163644015,0.72517,235.542830285,0.80062,8987.87580959,0.7469,4983.44190575,0.72408,2725.43712,0.7388,1026.1418534,0.73933,22704.7281871,0.66654,1831.24799676,0.733718711788696,0.75712,754352.99669184,0.72128,156704.68728544,,__eof__
2018Y,162485.21060745,0.77132,4556.16525738,0.6921,5093.9210574,0.72962,625.94428129,0.78947,667.570700445,0.77779,2673.289508175,0.72568,28852.03790148,0.79074,42593.71301064,0.66903,4555.102463025,0.72957,2303.60341317,0.65968,25272.77882752,0.78255,965.283641775,0.77468,1452.09001718,0.71831,303.697517295,0.74926,249.71000113,0.80558,9064.30318526,0.75145,4989.123401325,0.7267,2712.6243066,0.74695,1032.581812625,0.73744,22720.84128688,0.66473,1800.829016855,0.736231608786636,0.75495,750255.917564475,0.72401,157969.602088445,,__eof__
2019Y,163059.64750266,0.77392,4580.07558624,0.69625,5138.238316875,0.7369,634.9933621,0.78715,665.012263825,0.78163,2678.512742085,0.72372,28720.40156706,0.80071,43029.548862175,0.67039,4526.03484494,0.73291,2343.152480685,0.66061,25204.33722747,0.78021,947.04542514,0.7809,1442.76389895,0.7276,313.6472596,0.75937,259.603164105,0.81252,9160.5982986,0.75523,5000.87175042,0.72947,2701.23178682,0.74723,1028.179139625,0.73785,22906.035648225,0.66638,1779.36387772,0.739565834469433,0.75389,747310.07446615,0.72865,159491.84860375,,__eof__
2020Y,160535.082788385,0.77032,4559.51021424,0.69084,5111.78042538,0.73785,637.7163765,0.79067,665.93627281,0.78133,2672.068513675,0.71704,28405.86155096,0.78821,42222.678396735,0.66008,4416.00813884,0.71913,2321.8694136,0.64424,24444.70304552,0.78954,942.85800921,0.78538,1428.881103,0.72941,319.39478021,0.77058,269.88562746,0.81304,9178.68743272,0.74227,4908.05476621,0.72666,2669.88944871,0.74755,1024.172280675,0.72273,22569.29535774,0.67099,1765.83163419,0.729382304368355,0.74291,734417.11602735,0.7172,157248.5309494,,__eof__
2021Y,162058.298477625,0.77776,4591.92653928,0.70193,5207.685704315,0.75016,649.02417896,0.78876,661.9254201,0.78685,2686.771321775,0.73705,29157.660778975,0.78924,42102.12658062,0.66467,4403.881087885,0.74546,2425.79803143,0.64676,24393.84983042,0.76568,900.47528412,0.78202,1399.65313984,0.74063,328.330536875,0.78058,279.59009585,0.81941,9256.57076889,0.75211,4960.577230225,0.75013,2733.42946233,0.75733,1032.244955315,0.73753,23111.775895545,0.68425,1775.001634875,0.738167917581047,0.75839,748124.51259095,0.72073,158064.41271077,,__eof__
2022Y,163599.582220335,0.78469,4616.80051462,0.71158,5286.45163492,0.76757,665.140469995,0.80899,676.00256087,0.79631,2715.785393375,0.74311,29363.535752015,0.7988,42373.993525,0.68654,4513.72073495,0.76758,2516.94432891,0.65758,24658.16071873,0.77651,899.35854106,0.78503,1379.092424655,0.74148,332.14930266,0.7985,288.383066,0.8304,9372.4731888,0.76368,5013.6966624,0.75778,2877.34976684,0.7661,1038.1382795,0.741,23236.8526455,0.69311,1775.552709535,0.747072869216348,0.75933,747412.052542155,0.72675,159588.63498375,,__eof__
